Restore	載入
Current Room: %d\nname: %s\nscript: %s\nhorizon: %d\nvanishing X: %d\nvanishing Y: %d\npic angle: %d\nnorth: %d\nsouth: %d\neast: %d\nwest: %d\nstyle: %d\ncurrent pic: %d 	目前房間：%d\nname：%s\nscript：%s\nhorizon：%d\nvanishing X：%d\nvanishing Y：%d\npic angle：%d\nnorth：%d\nsouth：%d\neast：%d\nwest：%d\nstyle：%d\ncurrent pic：%d 
vanishing x: %d  y: %d	vanishing x：%d  y：%d
Flag is set.	旗標已設定。
Flag is clear.	旗標已清除。
The %s looks like any other %s.	%s 看起來就像任何其他的 %s。
You clicked inv item %s on %s.	你在 %s 上點擊了物品欄項目 %s。
The %s has nothing to say.	%s 沒有話要說。
%s.mem	%s.mem
%s.log	%s.log
Log file "%s" exists	日誌檔「%s」已存在
error: couldn't open %s	錯誤：無法開啟 %s
Severity of bug...	bug 的嚴重程度……
QA-COMMENT%d	QA-COMMENT%d
Comment line %d of %d:	註解行 %d / %d：
Who can fix bug...	誰可以修復 bug……
couldn't open memory file %s!	無法開啟記憶體檔案 %s！
%ssg.dir	%ssg.dir
New save-game directory:	新的存檔目錄：
%s\nis not a valid directory	%s\n不是有效的目錄
You must type a description for the game.	你必須為遊戲輸入一份說明。
File: %s	檔案：%s
Your save game disk is full. You must either use another disk or save over an existing saved game.	你的存檔磁片已滿。你必須使用另一張磁片，或者覆蓋一個已有的存檔。
Please insert your %s disk in drive %s.	請將你的 %s 磁片插入 %s 磁碟機。
%s\n[Collection of size %d]	%s\n[集合大小 %d]
%s\n[List of size %d]	%s\n[清單大小 %d]
%s\n[Set of size %d]	%s\n[集合大小 %d]
It's you, Sonny.	是你啊，Sonny。
x.yyy.zzz	x.yyy.zzz
the nut's keys.	那個堅果的鑰匙。
Pat's keys and the duplicate key.	Pat 的鑰匙和複製鑰匙。
Rocklin's keys and the duplicate key.	Rocklin 的鑰匙和複製鑰匙。
the duplicate key.	複製鑰匙。
Pat's keys.	Pat 的鑰匙。
Rocklin's keys.	Rocklin 的鑰匙。
Toilet paper.	衛生紙。
Gun locker key.	槍櫃鑰匙。
Flashlight batteries.	手電筒電池。
Highway flares.	公路閃光彈。
PR24 night stick.	PR-24 警棍。
A knife.	一把刀。
It's the complaint form that was filed against Officer Morales.	這是對 Officer Morales 提出的投訴單。
Ticket book.	罰單簿。
Computer access card.	電腦存取卡。
Electronic tracking device.	電子追蹤裝置。
A ticket.	一張罰單。
Michael Bains' military record.	Michael Bains 的軍事紀錄。
Murder file.	命案檔案。
Note Book.	筆記本。
A broken chain.	一條斷裂的鎖鏈。
Sample envelope with a white paint sample in it.	裡面裝有白色油漆樣本的樣本信封。
Sample envelope with a gold paint sample in it.	裡面裝有金色油漆樣本的樣本信封。
Sample envelope with skin & hair samples in it.	裡面裝有皮膚和毛髮樣本的樣本信封。
Sample envelope with blood & hair samples in it.	裡面裝有血液和毛髮樣本的樣本信封。
Empty sample envelopes.	空白樣本信封。
On the back of the bronze star is a number:\n       09987.	銅牌背面寫著一個數字：\n       09987。
Cult ring.	邪教戒指。
News article about you.  A pentagram has been drawn over your face	關於你的新聞文章。一個五角星形被畫在你的臉上
A rose.	一朵玫瑰。
Marie's locket.	Marie 的墜飾。
The reporter's business card.\nHis phone number is 555-0707.	記者的名片。\n他的電話號碼是 555-0707。
Scraper for evidence gathering.	用於蒐集證物的刮刀。
Toothpicks for evidence gathering.	用於蒐集證物的牙籤。
TV Remote Control	電視遙控器
This icon is for looking.	這個圖示是用於查看的。
This icon is for doing.	這個圖示是用於執行的。
This icon is for talking.	這個圖示是用於對話的。
This icon displays the control panel.	此圖示開啟控制面板。
This icon tells you about other icons.	此圖示說明其他圖示。
The graphics detail level.	圖形細緻度。
Overall sound volume.	整體音量。
The speed at which Sonny moves.	Sonny 的移動速度。
Allows you to save your game.	允許您存檔。
Allows you to quit the game.	允許您結束遊戲。
Information about the game.	遊戲說明。
Returns you to the game.	回到遊戲。
Jim's Mouth	Jim 的嘴
Jim's Hand	Jim 的手
Jim's Eye	Jim 的眼睛
The City	城市
Graduation	畢業典禮
He has a wild look in his eye.	他眼中閃現著瘋狂的神情。
He is still wobbling.	他仍然搖搖欲墜。
Booking Doors	簽收門
The automatic doors lead to Prisoner Booking and the Jail.	自動門通往嫌犯簽收室和監獄。
Evidence Doors	證物門
That door leads to Evidence Lockup and Lab Analysis.	那扇門通往證物存放室和實驗室。
Gun Locker	槍支儲物櫃
The lockers are for storing your weapons before entering the jail.	這些儲物櫃是用來在進入監獄前存放您的武器。
Locker Door	儲物櫃門
The sign reads 'Lytton County Police Department'.	標誌上寫著「Lytton County 警局」。
You're in the underground garage at the Lytton County Police Department's new building.	您正在 Lytton County 警局新大樓的地下停車場。
Patrol Car	巡邏車
The marked patrol car is used by uniformed officers on duty.	標記的巡邏車供制服警員執勤時使用。
patrol car door	巡邏車車門
patrol car trunk	巡邏車後車廂
Unmarked Car	便衣車
The unmarked department car is used by non-uniformed officers on duty.	便衣部門車輛供便衣警員執勤時使用。
unmarked car door	便衣車車門
unmarked car trunk	便衣車後車廂
Pat Morales, your partner.	Pat Morales，你的搭檔。
It's the light switch for the garage.	這是停車場的燈光開關。
Behind the protective glass is Officer Smith, the booking officer.	防護玻璃後面是簽收警官 Officer Smith。
You idly wonder if this guy will even make it through one night in the jail, or whether they'll ship him right out to the mental institute.	你不禁想著這傢伙能否在監獄裡撐過一晚，或者他們會不會直接送他去精神病院。
You'll be glad when this prisoner's through booking and in a cell where he can sleep it off.	等這名嫌犯簽收完畢、關進牢房睡一覺，你就能鬆一口氣了。
You pass a prisoner's personal items in through the drop drawer.	你通過投遞槽傳遞嫌犯的私人物品。
That door leads to the transfer holding cell. Once you walk through that door you're officially a prisoner of Lytton county until a judge decides otherwise.	那扇門通往轉運羈押室。一旦走過那扇門，在法官另有決定前，你在法律上就成了 Lytton County 的被羈押人。
The "Gas Chromatograph." This machine measures the blood alcohol content of breath samples.	「氣相層析儀」。這台機器測量呼吸樣本的血液酒精含量。
Sonny	Sonny
A counter and storage cabinets line one wall of the booking room.	一張櫃台和儲物櫃沿著簽收室的一面牆排列。
the room	房間
The booking room is clean and sparsely furnished.	簽收室乾淨而簡樸。
A pay phone provides a means for outside calls.	公用電話提供對外聯絡的方式。
towel dispenser	紙巾盒
There's a towel dispenser for cleanups. It's not uncommon for prisoners to leave bodily fluids of one kind or another on the floor.	有一台紙巾盒供清潔使用。嫌犯在地板上留下體液是常有的事。
evidence officer	證物官
Officer Martha Gibbs has been the Evidence Officer for two years.	Officer Martha Gibbs 擔任證物官已有兩年。
That stuff belongs to Officer Gibbs' and is of no concern to you.	那些東西屬於 Officer Gibbs，跟你沒關係。
This is Evidence Lockup. Physical evidence is deposited here for analysis and safekeeping.	這是證物存放室。實物證據在此存放供分析和保管。
This slot is where you put items you wish to check into Evidence.	這個投遞口是你存放要登錄的證物的地方。
Storage Door	儲物室門
That's the door to the storage closet.	那是儲物室的門。
storage closet	儲物室
The closet is cluttered with boxes.	儲物室裡堆滿了箱子。
There's a box of road flares in the closet.	儲物室裡有一盒路面照明彈。
Batteries	電池
There's an open box of batteries in the closet.	儲物室裡有一盒開啟的電池。
Mr. Stumps, the janitor, is good-natured and hard-working.	Stumps 先生是清潔工，個性爽朗又認真。
That's Mr. Stumps' janitorial cart.	那是 Stumps 先生的清潔車。
fire hydrant	消防栓
It's a fire extinguisher.	這是滅火器。
smoke detectors	煙霧偵測器
The smoke detectors help protect the building from fire.	煙霧偵測器幫助保護建築免受火災。
men's sign	男廁標誌
The sign reads 'Men'.	標誌上寫著「Men」。
women's sign	女廁標誌
The sign reads 'Women'.	標誌上寫著「Women」。
the entrance	入口
That's the entrance to the men's locker room.	那是男性置物間的入口。
That's the entrance to the women's locker room.	那是女性置物間的入口。
the window	窗戶
The window overlooks scenic downtown Lytton.	窗戶眺望風景秀麗的 Lytton 市中心。
the carpet	地毯
The floor's color is policeman blue.	地板是警察藍。
light switch	電燈開關
That's a light switch.	那是電燈開關。
You're standing in the first floor hallway of the Lytton County Police Department.	你正站在 Lytton 郡警察局一樓走廊裡。
locker door	置物櫃門
That's your locker.	那是你的置物櫃。
toilet paper.	衛生紙。
toilet.	馬桶。
Just your regular ol' run-of-the-mill john.	就是普通老式的馬桶。
stall door	廁所隔間門
The toilet stalls lend a pleasant ambiance to the locker room.	馬桶隔間為置物間增添舒適的氛圍。
You store some of your equipment in this locker.	你在這個置物櫃裡放了一些裝備。
This is your PR\\24 (nightstick).	這是你的 PR\\24（警棍）。
ticket book	罰單簿
This is your notebook.	這是你的筆記本。
This is your flashlight.	這是你的手電筒。
dial lock	轉盤鎖
 Looks as if the janitor is having trouble with your handy work. That should keep him busy for quite a while.	 看起來清潔工在處理你的傑作有點麻煩。那應該會讓他忙上好一陣子。
This is the men's locker room. Hence, the lockers.	這是男性置物間。當然啦，都是置物櫃。
The benches provide a place to sit while you're getting dressed.	長凳提供你穿衣服時坐著的地方。
You're standing in the men's locker room.	你正站在男性置物間裡。
That's Pat Morales' locker.	那是 Pat Morales 的置物櫃。
If you've seen one stall, you've seen them all.	你看過一個隔間就等於看過所有的了。
Unbelievable! It looks like Morales has been stealing packets of cocaine.	太離譜了！看起來 Morales 一直在偷可卡因包。
This is the women's locker room. Hence, the lockers.	這是女性置物間。當然啦，都是置物櫃。
The benches provide a place to sit while getting dressed.	長凳提供你穿衣服時坐著的地方。
Sergeant's Door	警佐辦公室門
That's the door to the Homicide office.	那是命案組辦公室的門。
The station's public address system.	警察局的廣播系統。
That's Homicide's hall window.	那是命案組走廊的窗戶。
bulletin board	佈告欄
The bulletin board is where people post articles of interest, personal ads, and chinese restaurant business cards.	佈告欄是貼有趣新聞、個人廣告和中式餐廳名片的地方。
Hmm, 'policeman blue'.	嗯，「警察藍」。
You're in the hallway of the second level of the Lytton Police Station. Several office doors line the hallway.	你在 Lytton 警察局二樓走廊裡。幾扇辦公室門排列在走廊上。
You are standing in the elevator.	你正站在電梯裡。
Briefing's Room Door	簡報室門
That's the door to the Briefing Room.	那是簡報室的門。
Psychologist's Door	心理師辦公室門
That's the door to the Criminal Psychologist's office.	那是刑事心理師辦公室的門。
locked door	上鎖的門
That's the door to Vice.	那是風化組的門。
The window is in the Vice Office.	窗戶在風化組辦公室裡。
The window is in the Psychologist's Office. The blinds are shut.	窗戶在心理師辦公室裡。百葉窗關閉了。
It's a smoke detector! A small label on the side reads: "For best results, hold directly over flame".	這是煙霧偵測器！側面的小標籤上寫著：「最佳效果，請直接放在火焰上方」。
In/Out basket.	文件盒。
a Computer.	一台電腦。
Your computer occupies the center of your desk. In this business, the computer is an indispensible tool.	你的電腦佔據辦公桌的中央。在這行業，電腦是不可或缺的工具。
sergeant's room	警佐辦公室
This is the Sergeant's office.	這是警佐辦公室。
Your desk is neat and orderly - probably because you don't spend a lot of time here.	你的桌子整潔有序——可能是因為你不常在這裡。
your phone	你的電話
Your phone sits silently on your desk.	你的電話靜靜地放在辦公桌上。
Lt's desk	中尉的桌子
That desk belongs to the Lieutenant.	那張桌子是中尉的。
That's the Lieutenant's stuff.	那是中尉的東西。
garbage can	垃圾桶
It's a garbage can.	那是一個垃圾桶。
The bulletin board in here has information so old, there's a missing person bulletin about Jimmy Hoffa.	這裡的布告欄資訊老得不行，上面還貼著尋人啟事，找的是 Jimmy Hoffa。
filing cabinets	檔案櫃
Those are file drawers.	那些是檔案抽屜。
Ah, some of the fine art displayed here at the Lytton County Police Department!	啊，在 Lytton County Police Department 展示的一些精美藝術作品！
Pat Morales	Pat Morales
It's your good ole, well-worn chair.	那是你親愛的、穿舊了的舊椅子。
That chair's for your visitors.	那張椅子是給訪客坐的。
That chair belongs to the Lieutenant.	那張椅子是中尉的。
The bookcase contains law reference materials.	書架裡擺著法律參考資料。
It's a computer.	那是一台電腦。
That's the power switch.	那是電源開關。
That's the computer monitor.	那是電腦螢幕。
That's the computer access card slot.	那是電腦刷卡槽。
The door leads back into the hallway.	門通回走廊。
A phone.	一台電話。
Your partner, Pat Morales, is an attractive, but tough-looking woman.	你的搭檔 Pat Morales，是個有魅力但看起來硬朗的女性。
The captain's chair.	警監的椅子。
Captain Tate runs the Homicide division for L.P.D.	Captain Tate 掌管 L.P.D. 的命案組。
The homicide room.	命案組辦公室。
A guest chair.	訪客椅。
Captain Tate's desk is well organized - as usual.	Captain Tate 的桌子井井有條——一如既往。
The window looks out into the hallway.	窗戶望向走廊。
The graph on the wall charts homicides for the past three years. Like inflation, the crime-rate rises steadily.	牆上的圖表顯示過去三年的命案數。就像通膨一樣，犯罪率穩定上升。
The bookcase has old paperbacks and phone books in it. Nothing interests you.	書架裡擺著舊的平裝本和電話簿。沒什麼引起你的興趣。
The file cabinet belongs to the captain. He always keeps it locked.	那個檔案櫃是警監的。他總是上鎖的。
OIC Head	主值班官
Kevin Miller	Kevin Miller
That's Officer Kevin Miller. He's one of the old-school cops.	那是警員 Kevin Miller。他是那種老派警察。
Carl Law	Carl Law
That's Officer Carl Law. Carl's a real cut-up.	那是警員 Carl Law。Carl 很愛開玩笑。
Joseph Banks	Joseph Banks
That's Officer Joseph Banks. Young, smart, and takes his job very seriously.	那是警員 Joseph Banks。年輕、聰明，對工作認真得很。
The clipboard contains the notes for today's briefing.	那個夾板上是今天簡報的筆記。
The female officer is Pat Morales. You hear she's a tough cookie.	那個女警是 Pat Morales。你聽說她是個硬漢子。
The chairs are for the officers attending the briefing.	那些椅子是給參加簡報的警員坐的。
The door leads back to the hall.	門通回走廊。
Soothing, isn't it?	舒服吧？
The chalkboard has nothing important on it at this time.	此時黑板上沒什麼重要的東西。
The podium is used for giving briefings.	講台是用來舉辦簡報的。
The message board is where the daily briefing notes are posted after the briefing.	訊息板是每天簡報後貼簡報筆記的地方。
The tables are for the officers attending the briefing.	那些桌子是給參加簡報的警員用的。
This is the briefing room. The junior officers meet here for news, reminders, and the occasional reprimands.	這是簡報室。下級警員在這裡聚集接收消息、提醒和偶爾的斥責。
Dr. Aimes is one of those intellectual types. Not a bad guy, but a little patronizing.	Dr. Aimes 是那種書呆子類型。不是個壞人，不過有點居高臨下。
It's one of those mindless excutive toys.	那是某種無聊的高管玩具。
It's one of those mindless executive toys.	那是某種無聊的高管玩具。
Dr. Aimes' chair is made of soft Corinthian leather.	Dr. Aimes 的椅子是用軟的科林斯皮革做的。
That's Doctor Aimes' desk. There's a file on the desk.	那是 Doctor Aimes 的桌子。桌上有個檔案夾。
It is a personnel file.	這是人事檔案。
The proverbial 'confessing couch'.	傳說中的「懺悔沙發」。
A window overlooks the parking lot. The blinds are drawn.	一扇窗俯瞰停車場。百葉窗關上了。
It's a theory receptacle.	這是個理論儲納器。
Dr. Aimes provides a chair for those who feel silly lying down.	Aimes 醫生為那些不適合躺著的人準備了一把椅子。
The filing cabinets have a lot of dirt on a lot of people.	檔案櫃裡記著很多人的醜聞。
A bit of green is always nice. This guy probably talks to his plants.	一點綠色總是不錯。這傢伙可能跟他的植物說話。
This is the office of the department's criminal psychologist, Dr. Sidney Aimes.	這是本局犯罪心理學家 Sidney Aimes 醫生的辦公室。
lab tech	實驗室技術員
Mike Downs is the head technician. He runs the computer facilities.	Mike Downs 是首席技術員。他負責電腦設施。
computer card	電腦卡
Your computer access card is on Mike's desk.	你的電腦存取卡在 Mike 的桌子上。
Behind their glass wall, dispatch is busy monitoring the police band.	玻璃牆後面，勤務中心忙著監控警察無線電。
The dispatch center is equipped with the latest audio, visual equipment.	勤務中心配備了最新的音視頻設備。
Law enforcement has certainly gone high tech hasn't it?	執法單位確實越來越高科技了，不是嗎？
It is a drawer.	這是個抽屜。
That's Mike's cabinet.	那是 Mike 的櫃子。
That's Mike's desk.	那是 Mike 的桌子。
The size of the department's main computer banks always astounds you.	局裡主機房的規模總是讓你驚訝。
That's Mike's computer.	那是 Mike 的電腦。
The table holds various computer magazines - none of which interest you.	桌子上放著各種電腦雜誌——沒有一本讓你感興趣。
The glass wall divides dispatch from the computer facilities.	玻璃牆把勤務中心和電腦設施分隔開來。
The elevated floor consists of individual movable tiles. All the computer cables run underneath the tiles.	上升的地板由活動磁磚組成。所有電腦線纜都在磁磚下面走。
That is Mike's In\\Out basket.	那是 Mike 的收發籃。
The third floor is home to the computer facilities and dispatch.	三樓是電腦設施和勤務中心所在地。
Inset	進入
The woman seems close to hysteria over something.	那個女人看起來因為某事快要歇斯底里了。
You look at your car fondly.	你喜愛地看著你的車。
This guy is definitely unstable.	這傢伙肯定很不穩定。
the picnickers	野餐的人
the river	河
The river's considerable undertow churns the waters into a muddy green.	河的強勁暗流把水攪得混濁發綠。
picnic tables	野餐桌
You've been picnicking at Aspen Falls many times before. One of those tables probably still has your initials on it.	你以前在 Aspen Falls 野餐過很多次。其中某一張桌子上可能還有你的名字首字母。
the tree	那棵樹
The graceful willow trees make Aspen Falls the prettiest park for miles around.	優雅的柳樹讓 Aspen Falls 成為方圓幾英哩最美的公園。
the sky	天空
The azure summer sky is accented by wispy clouds.	蔚藍的夏日天空被輕飄飄的白雲點綴著。
the grass	草
The grass stays lush and green on the banks of the river.	河岸上的草始終蒼綠茂盛。
the dirt	泥土
The bare area disrupts the grasses.	裸露的區域破壞了草地。
A pile of clothes, probably belonging to the half-naked perpetrator, is sitting by the rocks unattended.	一堆衣服（可能屬於那個半裸的犯人）無人看管地放在岩石旁。
The man's clearly in a deranged state of mind - though whether because of drug use or some mental instability is unclear.	那個人顯然精神錯亂——不過到底是因為吸毒還是精神失常還不清楚。
the trees	樹木
the rocks	岩石
A few large rocks mark a favorite spot for wading.	幾塊大岩石標記著一個涉水的好地點。
car door	車門
The passenger car door.	乘客側車門。
Your car is parked where you left it.	你的車停在你停下它的地方。
Highway 41 runs all the way through Lytton.	41 號公路貫穿整個 Lytton。
Guardrails protect out-of-control vehicles from plunging off the road.	護欄防止失控的車輛衝出道路。
The shoulder of the road is for emergency stops only.	路肩只供緊急停靠使用。
Uh-oh. It looks like one of those ambulance-chasing reporters.	哎呀。看起來是其中一個那種跟著救護車的記者。
Reporter	記者
One of the uniformed officers is busy searching the scene of the crime.	其中一個制服警察正在忙著搜查犯罪現場。
 It's a Lytton P.D. patrol car.	 那是 Lytton 警局的巡邏車。
It's Zak the keymaker.	那是鎖匠 Zak。
It's a public telephone.	那是個公用電話。
Marie's car was parked here during her attack.	Marie 被襲擊時她的車停在這裡。
You spot an object laying on the ground.	你發現地上有個東西。
It's one of the paramedics.	那是其中一個救護人員。
Marie has no color in her face and is breathing very shallow.	Marie 臉色蒼白，呼吸極淺。
the flag	旗子
the car	車子
That's your vehicle.	那是你的巡邏車。
The doctor looks tired but sympathetic.	醫生看起來疲倦但態度同情。
The nurse looks competent and sturdy.	護士看起來能幹又強壯。
the chart	病歷表
That's where the doctor hangs the patient's chart.	那是醫生掛著病人病歷表的地方。
It's Marie's hospital chart.	那是 Marie 的病歷表。
the stand	架子
The window overlooks the hospital parking lot.	窗戶俯瞰醫院停車場。
the bed	床
the monitor	監測器
The rolling metal stand provides a moving table for the nurses or your wife - if she were conscious to use it.	那個會滑動的金屬架提供了一張活動桌，方便護士或你的妻子使用——假如她有意識的話。
the cabinet	櫃子
The cabinet contains general hospital issue plastics and a few personal items belonging to your wife.	櫃子裡放著醫院標準配備的塑膠用品和一些你妻子的個人物品。
the chair	椅子
That chair is provided for the patient's visitors.	那張椅子是為病人訪客提供的。
the curtains	窗簾
The curtains are there to provide privacy for Marie during examinations and medical procedures.	窗簾是為了在檢查和醫療過程中保護 Marie 的隱私。
the wall	牆壁
The walls in here are depressingly bare.	這裡的牆壁空蕩蕩的，令人沮喪。
the floor	地板
The linoleum is shiny and clean.	地板光亮乾淨。
the woman	女人
the IV	點滴
the light	燈光
The light casts a clinical glare over Marie's face.	燈光投射出冷白色的光線照在 Marie 的臉上。
the button	按鈕
It's a call button.	那是求救鈕。
The rose is still fresh and beautiful.	那支玫瑰花仍然新鮮漂亮。
Marie's music box lies next to her on the bed.	Marie 的音樂盒放在床上她身旁。
It's Marie's lovely locket.	那是 Marie 漂亮的項鍊墜子。
It's Officer Pat Morales, your partner.	那是你的搭檔，警員 Pat Morales。
the florist	花商
The florist is a chipper sort, eager to make a sale.	花商性格開朗，急著要做這筆生意。
It's a rose.	那是一支玫瑰花。
the receptionist	接待員
The receptionist looks friendly enough.	接待員看起來很親善。
the elevator	電梯
It looks like an elevator.	看起來就像是電梯。
the front entrance	前門
That's the door you came in from.	那是你進來的門。
the flower shop	花店
You notice a flower shop off the lobby.	你注意到大廳旁有家花店。
the front desk	櫃檯
It's the front desk.	那是櫃檯。
The hospital floor is kept spotless.	醫院走廊保持得一塵不染。
the aisle	走廊
The hospital floor is waxed and gleaming.	醫院地板打了蠟，閃閃發亮。
the hospital	醫院
The hospital's architecture is stark and modern - a far cry from the dank corridors of the old hospital.	醫院的建築風格簡潔現代——與陰濕的舊醫院走廊相比差異很大。
the dressed	衣著整潔的人
It's your bed. It looks empty without Marie.	那是你的床。沒有 Marie 在就顯得空蕩蕩的。
the phone	電話
You glance at the phone and hope that nobody bothers you at home for once.	你瞥了一眼電話，希望這次沒人會在家裡煩你。
the night stand	床頭櫃
It's a night stand.	那是床頭櫃。
Outside the Lytton suburbs look peaceful.	Lytton 郊外看起來很寧靜。
the furniture	家具
Marie used to curl up in that chair for hours. This was her favorite little reading area.	Marie 經常在那張椅子上蜷縮好幾個小時。這是她最喜歡的小讀書角。
Marie was so excited about buying this house. She loved decorating this room and hand-picking each accessory.	Marie 對買這棟房子興高采烈。她喜歡裝飾這個房間，親自挑選每件家飾品。
the music box	音樂盒
The music box plays Marie's favorite song. She liked to listen to it while you were on duty because it reminded her of you.	音樂盒播放 Marie 最喜歡的歌曲。當你當班時她喜歡聽它，因為它讓她想起你。
This is the loading docks of a warehouse.	這是倉庫的裝貨碼頭。
There's a company truck parked here.	這裡停著一台公司的卡車。
There's a large, sturdy water pipe here.	這裡有根粗壯的自來水管。
The loading docks is littered with trash.	裝貨碼頭到處是垃圾。
It's a large trash bin for the warehouse.	這是倉庫用的大垃圾桶。
There's a lamp on the loading docks, probably to discourage break-ins.	裝貨碼頭上有盞燈，可能是為了防止入室搶劫。
the building	建築物
Lytton city courthouse... You hope Judge Simpson got up on the right side of the bed this morning	Lytton 市法院...你希望 Judge Simpson 今早起床時心情不錯。
building entrance	建築物入口
The front entrance to the courthouse.	法院的前門。
the plants	植物
This site boasts typical Lytton city landscape.	這個地點有典型的 Lytton 市風景。
A nice, wide sidewalk runs in front of the courthouse.	法院前有條寬敞舒適的人行道。
the asphalt	柏油路
The asphalt looks hot and dry.	柏油路看起來炎熱乾燥。
Ruiz refuses to meet your eyes.	Ruiz 拒絕與你目光接觸。
The judge looks serious and competent.	法官看起來嚴肅又有能力。
The defense attorney is an aggressive lawyer. He would clearly like to make you look bad.	辯護律師是個很強勢的律師。他顯然想讓你顯得很不利。
The Deputy District Attorney looks as though he's seen it all during his career. He doesn't miss a trick.	副地方檢察官看起來在他的職業生涯中見識過一切。他不會漏掉任何細節。
the court reporter	法庭書記員
The court reporter makes a record of all court proceedings.	法庭書記員記錄所有的法庭訴訟程序。
the door	門
That door must lead to the judge's chambers.	那扇門一定通向法官室。
The judge's court calendar is on her desk.	法官的法庭日程表在她的書桌上。
Don't even think of messing with the Judge's gavel.	別想碰法官的槌子。
the witness box	證人席
The witness box is located next to the judge's bench.	證人席位於法官座位旁。
judicial order	法院命令
search warrant	搜索票
Judge Simpson looks like a woman who likes to get right down to business.	Judge Simpson 看起來像個喜歡直接進入正題的女人。
the bookcase	書櫃
The bookcase is filled with legal tomes.	書櫃裡滿是法律書籍。
the desk	書桌
The judge's desk is neat and orderly.	法官的書桌整潔有序。
the table	桌子
The small table holds a lamp and nothing else of interest.	小桌子上放著燈，沒有其他有趣的東西。
the lamp	燈
A lamp is of no interest.	燈沒什麼好注意的。
The window looks over the park next door.	窗戶俯瞰隔壁的公園。
the paneling	鑲板
The judge's chambers has nice oak paneling.	法官室有漂亮的橡木鑲板。
The judge's chambers has nice, thick, blue carpeting.	法官室有漂亮的厚實藍色地毯。
The rusty dumpster contains the corpse of a murdered man. You pray to God that when YOUR time comes you end up someplace more dignified than the trash.	生鏽的垃圾箱裡裝著一具被殺害男子的屍體。你祈禱上帝，當你時日無多時，你會死在比垃圾堆更體面的地方。
The windshield is marked with the Vehicle Identification Number. It's 127633	擋風玻璃上標著車輛識別號碼。號碼是 127633
It's the abandoned white car. The dent contains gold paint.	這是被遺棄的白色汽車。凹陷處含有金色油漆。
The alley is a dead end - appropriate in this case.	小巷是條死路——這情況下很恰當。
The back alley asphalt is cracked and filthy. Weeds have struggled through in several places.	後巷的柏油路破裂骯髒。雜草在好幾個地方破土而出。
This part of town is full of typical American brick tenements.	城裡這一帶到處是典型的美式紅磚公寓。
An alley is a lousy place to die.	小巷是個糟糕的死亡地點。
It's a street lamp.	這是街燈。
The garage door is closed and locked.	車庫門關閉上鎖。
The yellow tape marks off the crime scene and prevents curiosity-seekers from getting too close.	黃色警戒線隔離犯罪現場，防止好奇者靠得太近。
You examine the body. By its skin color and state of rigor mortis, you'd guess that the victim's been dead for at least a few hours.	你檢驗屍體。根據皮膚顏色和屍僵狀態，你推測受害者至少死了幾個小時。
His face looks anything but peaceful.	他的臉看起來一點都不安詳。
What an awful smelly place to die.	真是個充滿惡臭的死亡之地。
the sign	招牌
the neon sign.	霓虹燈招牌。
the insects	昆蟲
The light attracts the bugs.	燈光吸引蟲子。
the bar door	酒吧的門
This place looks pretty rugged.  Better be on your toes.	這地方看起來很粗暴。得小心點。
the tire marks	輪胎痕跡
You can still smell the rubber left in those tire marks.	你還能聞到輪胎痕跡裡留下的橡膠味。
the garage door	車庫的門
This part of town has numerous parking garages and small lots.	城鎮的這一帶有許多停車場和小停車位。
The windows are tinted.  You can't see inside from here.	窗戶是深色的。你看不到裡面。
the alley	小巷
An alley runs alongside the Old Nugget.	一條小巷在舊金塊旁邊。
Billboards are not uncommon in this part of town.  They make streets even uglier than they already are.	廣告牌在城鎮這一帶很常見。它們讓街道看起來比原本還要難看。
the Nugget	舊金塊
This is the infamous Old Nugget saloon.	這就是那間臭名昭著的舊金塊沙龍。
Based on Paul Bunyan's mug there, I'd say it's a safe bet that they serve beer here.	從那邊的 Paul Bunyan 人像來看，我敢說這裡有供應啤酒。
The sign says 'Old Nugget'. It's neon glow attracts insects (including those of the human variety).	招牌上寫著『舊金塊』。霓虹燈的光芒吸引昆蟲（包括人類那種）。
the man	那個男人
the bartender	酒保
The bartender is a tough-looking woman. She's sporting a " Peterbilt" T-shirt and a "don't mess with me" grimace. She looks as though she's perfectly capable of keeping her customers in line.	酒保是個看起來很兇悍的女人。她穿著「Peterbilt」T恤和滿臉冷漠。她看起來完全有能力控制她的客人。
the pool player	玩撞球的人
the cue ball	母球
the man at the bar	在吧台的男人
Just a skinny lil' guy minding his own business.	只是個瘦小的傢伙，專心處理自己的事。
This guy looks like he sprouted out of that bar stool. Must be a regular here.	這傢伙看起來像是從那張吧椅冒出來的。一定是這裡的常客。
the suspect	嫌犯
Hmm... sure matches the description.	嗯…確實符合描述。
the T.V.	電視
Hmm.. might be an interesting program if it would stop flipping like that.	嗯…要是它不會一直亂翻就可能是個有趣的節目。
the pool balls	撞球
"Whoa! Nice set of balls!"	「哇！一套好球！」
the pool cue	撞球桿
It is a pool cue.	那是撞球桿。
the pool table	撞球桌
There's a pool table at one end of the bar room - a staple of American neighborhood juice joints.	吧廳一端有張撞球桌——美式鄰里酒館的標配。
The lamp over the pool table gives off a sickly glare.	撞球桌上方的燈發出蒼白的光。
the liquor	酒
The bartender's arsenal of poisons is neatly arranged behind her.	酒保的『毒液寶庫』在她身後井然有序地排著。
the bar	吧台
